id,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Green Oaks,800000,3,2,2000,"Welcome to this eco-friendly oasis nestled in the heart of Green Oaks. This charming 3-bedroom, 2-bathroom home boasts energy-efficient features such as solar panels and a well-insulated structure. Natural light floods the living spaces, highlighting the beautiful hardwood floors and eco-conscious finishes. The open-concept kitchen and dining area lead to a spacious backyard with a vegetable garden, perfect for the eco-conscious family. Embrace sustainable living without compromising on style in this Green Oaks gem.","Green Oaks is a close-knit, environmentally-conscious community with access to organic grocery stores, community gardens, and bike paths. Take a stroll through the nearby Green Oaks Park or grab a cup of coffee at the cozy Green Bean Cafe. With easy access to public transportation and bike lanes, commuting is a breeze."
1,Sunnyvale,950000,4,3,2500,"Beautiful 4-bedroom, 3-bathroom home in the desirable neighborhood of Sunnyvale. This spacious house features a gourmet kitchen, luxurious master suite, and a backyard oasis with a pool and spa. Perfect for entertaining or relaxing with family, this home offers the best of indoor and outdoor living.","Sunnyvale is known for its top-rated schools, vibrant downtown area, and easy access to major tech companies. Enjoy the sunny California weather with nearby parks, hiking trails, and golf courses."
2,Downtown Los Angeles,1200000,2,2,1800,"Luxury living in the heart of Downtown Los Angeles. This modern 2-bedroom, 2-bathroom condo offers stunning city views, high-end finishes, and top-of-the-line appliances. Enjoy the convenience of living in the bustling city center with access to world-class dining, shopping, and entertainment.","Downtown Los Angeles is a vibrant urban neighborhood with a mix of historic architecture, cultural attractions, and trendy restaurants. Experience the excitement of city living with easy access to public transportation and major freeways."
3,Brooklyn Heights,1500000,5,4,3000,"Stunning 5-bedroom, 4-bathroom brownstone in the historic neighborhood of Brooklyn Heights. This beautifully renovated home features original details, modern amenities, and a private garden. With spacious living areas and a chef's kitchen, this home is perfect for families and entertaining.","Brooklyn Heights is a charming neighborhood known for its tree-lined streets, historic brownstones, and waterfront views. Enjoy easy access to Brooklyn Bridge Park, local boutiques, and top-rated restaurants."
4,Pacific Palisades,2500000,6,5,4000,"Magnificent 6-bedroom, 5-bathroom estate in the prestigious neighborhood of Pacific Palisades. This grand home features a gourmet kitchen, formal dining room, and a luxurious master suite with ocean views. The expansive backyard offers a pool, spa, and outdoor kitchen, perfect for entertaining guests.","Pacific Palisades is a sought-after coastal community with upscale shopping, dining, and outdoor recreation. Enjoy the beach lifestyle with access to hiking trails, golf courses, and the iconic Santa Monica Pier."
5,South Beach,1800000,3,3,2200,"Modern 3-bedroom, 3-bathroom condo in the trendy neighborhood of South Beach. This sleek and stylish home features floor-to-ceiling windows, a gourmet kitchen, and a private balcony with city views. Live the urban lifestyle with access to world-class dining, shopping, and nightlife.","South Beach is a vibrant neighborhood known for its luxury high-rises, waterfront views, and upscale boutiques. Experience the excitement of living in the heart of Miami with easy access to the beach, art galleries, and cultural events."
6,Georgetown,1700000,4,4,2800,"Charming 4-bedroom, 4-bathroom townhouse in the historic neighborhood of Georgetown. This elegant home features original details, modern updates, and a private courtyard. With multiple living spaces and a gourmet kitchen, this home is perfect for families and entertaining.","Georgetown is a picturesque neighborhood known for its cobblestone streets, historic architecture, and upscale shops. Enjoy the vibrant community with access to waterfront parks, art galleries, and top-rated restaurants."
7,Nob Hill,2000000,3,3,2400,"Luxurious 3-bedroom, 3-bathroom penthouse in the prestigious neighborhood of Nob Hill. This sophisticated home features panoramic city views, high-end finishes, and a private rooftop terrace. Live in style with access to fine dining, shopping, and cultural attractions.","Nob Hill is an upscale neighborhood known for its historic mansions, luxury hotels, and iconic cable cars. Experience the elegance of San Francisco living with easy access to Union Square, Chinatown, and the Financial District."
8,Old Town Alexandria,1300000,4,3,2600,"Historic 4-bedroom, 3-bathroom home in the charming neighborhood of Old Town Alexandria. This beautifully restored home features period details, modern amenities, and a private backyard. With a gourmet kitchen and formal dining room, this home is perfect for families and entertaining.","Old Town Alexandria is a quaint waterfront neighborhood known for its colonial architecture, boutique shops, and waterfront dining. Enjoy the historic charm with access to parks, museums, and the scenic Potomac River."
9,Beverly Hills,3000000,5,6,5000,"Exquisite 5-bedroom, 6-bathroom mansion in the exclusive neighborhood of Beverly Hills. This palatial estate features a grand foyer, formal living and dining rooms, and a private home theater. The expansive grounds offer a pool, spa, and guest house, perfect for luxury living and entertaining.","Beverly Hills is a world-renowned neighborhood known for its celebrity residents, luxury shopping, and upscale dining. Experience the glamour of Los Angeles living with access to Rodeo Drive, Beverly Hills Hotel, and iconic landmarks."
